"Avaliando IDEPB - 2017
RESULTADOS POR ESCOLA
LÍNGUA PORTUGUESA/MATEMÁTICA
Rede Estadual";;;;;;;;;;;;;
Retorna Índice.;;;;;;;;;;;;;
Código da Etapa de Escolaridade;Etapa de Escolaridade;Rede de Ensino;Código de GRE;GRE;Código de Município;Município;Código da Escola;Escola;Nota Média Padronizada - LP;Nota Média Padronizada - MT;Indicador de Desempenho;Indicador de Fluxo;IDEPB
27;3ª série do Ensino Médio;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2504900;CRUZ DO ESPIRITO SANTO;25088530;EEEFM DEP FERNANDO MILANEZ;3,04;3,15;3,10;0,79;2,43
27;3ª série do Ensino Médio;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2504900;CRUZ DO ESPIRITO SANTO;25088572;EEEFM FLAVIO RIBEIRO COUTINHO;3,64;3,44;3,54;1,00;3,54
27;3ª série do Ensino Médio;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2509107;MARI;25089013;EEEFM JOSE PAULO DE FRANCA;4,47;4,11;4,29;0,71;3,04
27;3ª série do Ensino Médio;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2515302;SAPE;25089781;EEEFM MONS ODILON ALVES PEDROSA;4,40;3,84;4,12;0,70;2,87
27;3ª série do Ensino Médio;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2515302;SAPE;25089820;EEEFM GENTIL LINS;3,14;3,31;3,23;0,89;2,86
27;3ª série do Ensino Médio;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2512762;RIACHAO DO POCO;25089838;EEEFM RIACHAO DO POCO;3,73;3,59;3,66;0,74;2,70
27;3ª série do Ensino Médio;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2515302;SAPE;25090135;ENE CASSIANO RIBEIRO COUTINHO;4,31;3,83;4,07;0,82;3,32
27;3ª série do Ensino Médio;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2501807;BAYEUX;25090879;EEEFM ENG JOSE DAVILA LINS;3,26;3,26;3,26;0,59;1,92
27;3ª série do Ensino Médio;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2501807;BAYEUX;25090887;EEEFM PROF ANTONIO GOMES;3,94;3,52;3,73;0,57;2,14
27;3ª série do Ensino Médio;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2501807;BAYEUX;25090909;EEEFM IRINEU PINTO;4,43;4,21;4,32;0,60;2,61
27;3ª série do Ensino Médio;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2501807;BAYEUX;25090984;EEEFM JOAO CAETANO;4,44;3,91;4,17;0,75;3,13
