"IDEPB - 2018
RESULTADOS POR ESCOLA
LÍNGUA PORTUGUESA/MATEMÁTICA";;;;;;;;;;
Etapa de Escolaridade;Rede de Ensino;GRE;Município;Código da Escola;Escola;Nota Média Padronizada - LP;Nota Média Padronizada - MT;Indicador de Desempenho;Indicador de Fluxo;IDEPB
5º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;CRUZ DO ESPIRITO SANTO;25088521;EEEF FAZ COBE;4,27;4,32;4,30;0,60;2,56
5º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;CRUZ DO ESPIRITO SANTO;25088572;EEEFM FLAVIO RIBEIRO COUTINHO;4,54;4,07;4,31;1,00;4,31
5º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;CRUZ DO ESPIRITO SANTO;25088602;EEEF CAMPO DE SEMENTES E MUDAS;5,86;5,80;5,83;0,98;5,71
5º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;BAYEUX;25090933;EEEF ALVARO DE CARVALHO;6,34;7,01;6,67;0,94;6,30
5º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;BAYEUX;25090941;EEEF ANITA GARIBALDI;4,79;4,50;4,65;0,78;3,61
5º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;BAYEUX;25090976;EEEF GETULIO VARGAS;5,05;5,51;5,28;0,40;2,14
5º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;BAYEUX;25090992;EEEF SENADOR TEOTONIO VILELA;4,80;4,85;4,82;0,91;4,40
5º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;CABEDELO;25091565;EEEF AUGUSTO SEVERO;4,30;4,62;4,46;0,71;3,15
5º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;CABEDELO;25091573;EEEF JOAO XXIII;6,42;6,35;6,39;0,81;5,20
5º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;CABEDELO;25091620;EEEFM ABREU E LIMA;3,92;3,92;3,92;0,50;1,96
5º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;CABEDELO;25091646;EEEF PE ANTONIO VIEIRA;5,18;5,01;5,09;0,77;3,92
